material_family,Measurement Description,n_spectra
control_other,Water bottle,6
control_other,test_lab_door,6
vinyl,"Vinyl, home decorators collection, wl 12, Wayne canyon oak, 2.49",6
vinyl,"Vinyl, home decorators collection, wl 12, bay view pine, 2.49",6
vinyl,"Vinyl, home decorators collection, wl 12, lina ridge oak, 2.49",6
vinyl,"Vinyl, home decorators collection, wl 12, palenque park, 2.49",6
vinyl,"Vinyl, home decorators collection, wl 12, pelican gray, 2.49",6
vinyl,"Vinyl, life proof, wl 22, brooks oak, 3.29",6
vinyl,"Vinyl, life proof, wl 22, lakeside hill oak, 3.29",9
vinyl,"Vinyl, life proof, wl 22, lipian hill hickory, 3.29",6
vinyl,"Vinyl, life proof, wl 22, trail oak, 3.29",6
vinyl,"Vinyl, traffic master, wl 6, birchwood, 1.99",6
vinyl,"Vinyl, traffic master, wl 6, oak, 1.99",10
vinyl,"Vinyl, traffic master, wl 6, pine block oak, 1.99",11
vinyl,"Vinyl, traffic master, wl 6, winding brook, 1.99",6
wood_lumber,"Lumber, fir, 11.45",10
wood_lumber,"Lumber, mahogany , 12",6
wood_lumber,"Lumber, oak, 12",6
wood_lumber,"Lumber, particle board",5
wood_lumber,"Lumber, pine, 21",11
wood_lumber,"Lumber, poplar, 8",6
